Date,Price,Open,High,Low,Vol.,Change %
17-Jul,112,116.3,118.675,111.775,545.78K,-5.96%
17-Jun,119.1,124.75,134.225,118,90.77K,-4.28%
17-May,124.425,124.625,134.55,120.575,758.58K,-9.84%
17-Apr,138,119.95,138.9,117.5,92.96K,15.05%
17-Mar,119.95,118.15,123.2,114.9,521.90K,-5.25%
17-Feb,126.6,115.4,127.125,114.65,87.12K,9.52%
17-Jan,115.6,116.5,121.45,113.975,455.68K,-2.86%
16-Dec,119,111.9,123.7,107.275,77.24K,7.45%
16-Nov,110.75,103.475,111.2,100.275,434.50K,7.42%
16-Oct,103.1,98.525,104.975,94.3,79.47K,4.25%
16-Sep,98.9,106.4,109.225,98.9,495.69K,-11.66%
16-Aug,111.95,113.9,117.75,109.8,79.99K,-0.99%
16-Jul,113.075,114.85,115.35,107.1,410.39K,-5.77%
16-Jun,120,121.05,123.75,113.725,72.74K,-0.91%
16-May,121.1,114.925,124.675,114.9,493.49K,-1.62%
16-Apr,123.1,133.15,135.225,122,86.29K,-7.39%
16-Mar,132.925,136.65,141.9,131.025,421.12K,-4.71%
16-Feb,139.5,135.8,139.95,129.375,86.81K,3.10%
16-Jan,135.3,135.575,137.7,126.3,387.89K,-0.37%
15-Dec,135.8,129.45,135.8,116.975,114.84K,4.42%
15-Nov,130.05,141.125,142.1,125.5,462.08K,-6.61%
15-Oct,139.25,124,141.4,120.025,97.34K,11.69%
15-Sep,124.675,142.825,144.425,124.675,449.67K,-14.31%
15-Aug,145.5,147.45,150.85,141.975,81.45K,-0.14%
15-Jul,145.7,148.4,151.975,142.25,448.84K,-1.45%
15-Jun,147.85,152.575,156.475,147.85,122.27K,-2.94%
15-May,152.325,149.5,154.975,148.4,468.09K,-4.50%
15-Apr,159.5,161.4,164.25,155.025,90.47K,-1.13%
15-Mar,161.325,152.175,162.975,150.15,440.05K,2.10%
15-Feb,158,154.45,163.1,152.025,107.69K,2.03%
15-Jan,154.85,165.475,166.975,148.375,491.79K,-6.55%
14-Dec,165.7,168.9,170.1,155.95,110.86K,-1.88%
14-Nov,168.875,165.75,171.65,164.9,383.46K,-0.37%
14-Oct,169.5,160.225,171.975,159.925,112.26K,5.64%
14-Sep,160.45,151.85,161.75,151.75,467.90K,2.92%
14-Aug,155.9,157.525,159.25,146.8,78.13K,-1.28%
14-Jul,157.925,150.375,160.25,146.575,556.66K,3.22%
14-Jun,153,137.775,154.225,137.4,138.60K,11.03%
14-May,137.8,137.15,139.95,135.4,469.32K,-5.50%
14-Apr,145.825,145.75,148.5,142.325,102.75K,-0.02%
14-Mar,145.85,145.175,147,142.625,455.83K,-4.01%
14-Feb,151.95,141.725,153,138.9,94.58K,7.25%
14-Jan,141.675,134.925,144.575,134.85,459.76K,5.33%
13-Dec,134.5,133.5,135.15,130.9,99.61K,0.77%
13-Nov,133.475,132.975,133.7,130.65,363.89K,-0.76%
13-Oct,134.5,127.475,134.9,126.975,94.54K,5.20%
13-Sep,127.85,126.8,128.4,124.3,355.84K,4.20%
13-Aug,122.7,121.475,124.95,120.375,80.83K,1.03%
13-Jul,121.45,122.2,122.95,120.8,376.12K,2.79%
13-Jun,118.15,121.275,121.875,118.15,93.03K,-2.60%
13-May,121.3,122.05,124.025,118.7,480.26K,-5.53%
13-Apr,128.4,128.875,129.075,124.5,135.91K,-0.39%
13-Mar,128.9,130.275,130.825,124.65,485.04K,0.70%
13-Feb,128,127.9,129.45,124.125,92.26K,0.29%
13-Jan,127.625,132.95,134.325,124.8,517.24K,-1.75%
12-Dec,129.9,126.625,130.05,125.175,152.66K,2.51%
12-Nov,126.725,125.65,129.175,124.55,408.72K,-0.02%
